"category", "layer"
"Tourism and Religious Spots","Champawat:devidhura_loc"
"Tourism and Religious Spots","Champawat:devidhura_path"
"Tourism and Religious Spots","Champawat:thak_maneater_location"
"Tourism and Religious Spots","Champawat:thak_maneater_path"
"Tourism and Religious Spots","Champawat:talla_des_maneater_loc"
"Tourism and Religious Spots","Champawat:talla_des_maneater_trail"
"Transport","Champawat:final_roads_district"
"Transport","Champawat:railway_line_champ"
"Transport","Champawat:railway_station_champ"
"Transport","Champawat:helipad_champawat"
"Transport","Champawat:nh_office_champ"
"Civil Supplies","Champawat:villages_champawat_pop"
"Civil Supplies","Champawat:district supply office"
"Civil Supplies","Champawat:gas_agency_champ"
"Civil Supplies","Champawat:godown_champ"
"Civil Supplies","Champawat:kerosene_depot_champ"
"Civil Supplies","	Champawat:petrol_pump_champ"
"Fisheries","Champawat:fishries"
"Fisheries","Champawat:fishcroppingzones"
"Fisheries","Champawat:fish_RUSC_champ"
"Fisheries","Champawat:fisheries_champ_new"
"Horticulture","Champawat:teaestateoffice"
"Horticulture","Champawat:tea_estates"
"Horticulture","Champawat:tea_DEM_landslidelow_road"
"Horticulture","Champawat:newahp"
"Horticulture","Champawat:horticulture_offices_champ"
"Horticulture","Champawat:apple_champawat"
"Horticulture","Champawat:citrus_champ"
"Horticulture","Champawat:tejpatta_amla"
"Horticulture","Champawat:champawat_mango_leechi"
"Horticulture","Champawat:vegetables_locations_champ"
"Horticulture","Champawat:potato"
"Horticulture","Champawat:nursery_hort"
"Horticulture","Champawat:canning_center_new"
"Horticulture","Champawat:hort_mobile_team"
"Police & Security","Champawat:police_thanaboundaries"
"Police & Security","Champawat:police_thana"
"Police & Security","Champawat:police_chuaki_boundary"
"Police & Security","Champawat:police_chawki_loc"
"Police & Security","Champawat:village_police_thana"
"Police & Security","Champawat:police_barrier "
"Police & Security","Champawat:police_wireless"
"Police & Security","Champawat:fire_station"
"Police & Security","Champawat:police_office_champ"
"Police & Security","Champawat:police_line"
"Disaster Management","Champawat:champa_landslide"
"Disaster Management","Champawat:champa_earthquake"
"Disaster Management","Champawat_FloodS"
"Health Facilities","Champawat:hospital"
"Health Facilities","Champawat:ayurvedic hospital"
"Health Facilities","Champawat:homeopathic hospital "
"Water Resources","Champawat:champawat_majorrivers"
"Water Resources","Champawat:champawat_perennial_rivers"
"Water Resources","Champawat:drainage_corrected"
"Water Resources","Champawat:champawat_watershed"
"Water Resources","Champawat:champawat_tubewells"
"Water Resources","Champawat:natural_springs_champ"
"Water Resources","Champawat:waterfalls_champ"
"Water Resources","Champawat:lakes_champ"
"Water Resources","Champawat:champawat_riverbed"
"Water Resources","Champawat:champawat_p_r100mbuf"
"Water Resources","Champawat:groundwater_prospect_champ"
"Forest","Champawat:forest"
"Forest","Champawat:Pine_Forest_Champawat"
"Forest","	Champawat:vegetation_typeC_Champawat"
"Climate","Champawat:COchmpwtclip"
"Climate","Champawat:NO2chmpwtclip"
"Climate","Champawat:SO2Chmpwtclipfinal"
"Climate","Champawat:ozonechmpwtclip"
"Climate","Champawat:UVaerosol_chmpwtclipfinal"
"Climate","Champawat:NRTI_cloud_chmpwtfinal"
"Climate","Champawat:NRTFormaldehyde_clip_final"
"Climate","Champawat:LST2014_23_10yr_chmpwt"
"Climate","Champawat:LST2014_chmpwt"
"Climate","Champawat:LST2015_chmpwt"
"Climate","Champawat:LST2016_chmpwt"
"Climate","Champawat:LST2017_chmpwt"
"Climate","Champawat:LST2018_chmpwt"
"Climate","Champawat:LST2019_chmpwt"
"Climate","Champawat:LST2020_chmpwt"
"Climate","Champawat:LST2021_chmpwt"
"Climate","Champawat:LST2022_chmpwt"
"Climate","Champawat:LST2023_chmpwt"
"Climate","Champawat:ET_10yrChmpwt"
"Climate","Champawat:ET_2014_chmpwt"
"Climate","Champawat:ET_2015_chmpwt"
"Climate","Champawat:ET2016_chmpwt"
"Climate","Champawat:ET2017_chmpwt"
"Climate","Champawat:ET2018_chmpwt"
"Climate","Champawat:ET2019_chmpwt"
"Climate","Champawat:ET2020_chmpwt"
"Climate","Champawat:ET2021_chmpwt"
"Climate","Champawat:ET2022_chmpwt"
"Climate","Champawat:ET2023_chmpwt"
"Climate","Champawat:chirps_10yrs_rainfall"
"Climate","Champawat:chirps_2014_rain_chmpwt"
"Climate","Champawat:chirps_2015_chmpwt"
"Climate","Champawat:chirps_2016_rain_chmpwt"
"Climate","Champawat:chirps_2017_chmpwt"
"Climate","Champawat:chirps_2018_chmpwt"
"Climate","Champawat:chirps_2019_chmpwt"
"Climate","Champawat:chirps_2020_chmpwt"
"Climate","Champawat:chirps_2021_chmpwt"
"Climate","Champawat:chirps_2022_chmpwt"
"Climate","Champawat:chirps_2023_chmpwt"
